"","ResortName","Continent","Country","Altitude","Easy","Intermediate","Difficult","Adult","Child","Youth","Currency","Ski_resort_size","Variety","Liftsandcable.cars","Snowreliability","Slopepreparation","Environmental","Friendliness","Access_Park","Food","Accommodations","Families","Beginners","AdvancedSkiers","Snowparks","Cross_skiing"
"3831","raudalen-alpinsenteret","Europe","Norway",1060,0,4,6,47.7853335783863,37.9832138699994,0,"Norwegian krone",2,2,2,4,3,4,3,3,2,1,1,1,3,2,5
"3836","rauriser-hochalmbahnen-rauris","Europe","Austria",2175,15,12.5,5,49.6145243309627,25.0991123086047,38.5242188922769,"Euro",3,4,4,4,4,5,4,3,4,3,4,4,3,3,3
"3863","reiserhang-gaissach","Europe","Germany",835,0.5,0.5,0,19.8458097323851,17.5110085873986,0,"Euro",1,2,1,3,4,3,4,4,3,1,3,4,1,1,1
"3864","reith-bei-kitzbuehel","Europe","Austria",865,1.7,0.1,0,0.0116740057249324,0.0116740057249324,0,"Euro",1,2,1,3,4,3,4,4,3,2,5,4,1,3,5
"3882","revelstoke-mountain-resort","North America","Canada",2225,16,18,21,75.3167869706523,29.6702494126812,59.3404988253624,"Canadian Dollar",3,5,4,4,4,4,4,4,4,3,3,4,5,3,1
"3895","riesneralm-donnersbachwald","Europe","Austria",1820,20,9,3,47.8634234722229,24.5154120223581,41.4427203235101,"Euro",3,4,4,4,4,4,4,3,4,3,5,5,4,2,3
"3898","rifflsee","Europe","Austria",2800,9.5,4.5,4.4,45.5286223272364,26.8502131673445,0,"Euro",3,4,4,4,4,4,2,3,3,4,3,3,4,1,4
"3905","rinderbergsaanerslochgrathorneggli-zweisimmensaanenmoeserschoenriedst-stephan","Europe","Switzerland",2011,64.3,20.6,4,63.6016718153734,35.3342621196519,51.4870676600642,"Swiss Franc",4,4,4,4,4,4,4,4,4,4,4,5,3,4,4
"3907","rinerhorn-davos-klosters","Europe","Switzerland",2490,15.6,23.1,12.8,55.5252690451673,22.2101076180669,39.372463504755,"Swiss Franc",3,4,2,4,5,4,4,2,3,2,3,3,3,2,4
"3928","rofan-maurach","Europe","Austria",1840,1,8,2,36.7731180335371,21.596910591125,0,"Euro",2,3,3,3,3,3,3,4,3,3,4,3,2,1,5
"3944","rosa-khutor","Russia","Southern Russia",2320,30,26,21,23.8173495100771,19.0538796080617,0,"Russian ruble",3,4,5,4,5,2,2,4,3,4,3,3,4,4,1
"3951","rosshuette-seefeld","Europe","Austria",2064,11.4,5.9,1,50.781924903456,35.6057174610438,47.8634234722229,"Euro",2,4,4,4,4,3,3,4,4,2,4,5,3,3,5
"3952","rosskopf-monte-cavallo-sterzing-vipiteno","Europe","Italy",2176,6.1,10.3,1,45.5286223272364,32.6872160298107,0,"Euro",2,3,3,4,4,4,4,5,4,2,3,2,2,2,1
"3975","rucphen-skidome","Europe","Netherlands",52,0.5,0,0,49.6145243309627,46.112322613483,0,"Euro",1,1,1,5,4,1,2,5,3,1,4,4,1,4,1
"3988","ruka","Europe","Finland",492,9.1,7,2.8,51.3656251897026,32.6872160298107,43.1938211822499,"Euro",3,4,3,5,4,4,4,4,4,4,5,5,2,5,5
"3994","rusel","Europe","Germany",917,1.1,1,1,0,0,0,"-",1,2,1,1,4,4,3,4,2,1,3,3,1,1,4
"4008","saalbach-hinterglemm-leogang-fieberbrunn-skicircus","Europe","Austria",2096,140,112,18,61.8722303421418,30.9361151710709,46.6960228997296,"Euro",5,5,5,4,4,4,4,3,5,5,5,5,5,5,4
"4012","saas-fee","Europe","Switzerland",3573,20,60,20,73.6971752781311,36.3438124659277,61.5825711228219,"Swiss Franc",4,5,3,5,4,5,3,2,4,5,4,3,4,4,3
"4030","sahnehang","Europe","Germany",836,0.8,0,0,21.0132103048783,15.1762074424121,0,"Euro",1,1,1,3,5,3,4,3,3,1,3,4,1,1,4
"4070","san-martino-di-castrozza","Europe","Italy",2357,16,32,12,52.5330257621958,36.1894177472905,0,"Euro",3,4,3,4,5,4,4,2,4,3,4,4,3,5,4
"4072","san-vito-di-cadore","Europe","Italy",1584,4,5,1,35.0220171747972,19.8458097323851,28.0176137398378,"Euro",2,3,2,4,4,4,4,3,4,2,4,3,2,1,2
"4076","sandboarding-dubai","Asia","United Arab Emirates",50,0,0.2,0,0,0,0,"-",1,1,1,1,1,3,5,4,3,1,4,2,1,1,1
"4077","sandboarding-mesaieed-doha","Asia","Qatar",50,0,0.1,0,0,0,0,"-",1,1,1,1,1,3,4,3,3,1,4,1,1,1,1
"4086","santa-caterina-valfurva","Europe","Italy",2880,1.4,15.5,3.6,47.8634234722229,0,40.8590200372634,"Euro",3,4,4,4,4,4,3,1,4,2,3,2,3,1,3
"4111","savognin","Europe","Switzerland",2713,32,38,3,57.5443697377188,29.2769600419973,50.4775173137884,"Swiss Franc",3,4,3,4,4,3,4,3,4,3,5,4,3,2,4
"4126","schetteregg-egg","Europe","Austria",1325,3,6,1,37.9405186060303,21.0132103048783,31.5198154573175,"Euro",2,3,2,3,4,4,3,4,3,2,5,4,2,3,1
"4133","schilthorn-muerrenlauterbrunnen","Europe","Switzerland",2970,19,23,9,64.6112221616492,32.3056110808246,51.4870676600642,"Swiss Franc",3,5,3,4,4,4,3,3,4,4,4,4,5,5,2
"4134","schladming-planaihochwurzenhauser-kaiblingreiteralm-4-berge-skischaukel","Europe","Austria",2015,46.4,68.3,8.3,60.1211294834019,30.3524148848243,44.9449220409898,"Euro",5,5,5,5,5,4,4,4,5,5,5,3,4,5,4
"4138","schlick-2000-fulpmes","Europe","Austria",2240,12,6.8,3.2,44.9449220409898,22.8810512208675,31.5198154573175,"Euro",3,4,4,4,4,4,4,4,4,2,4,5,3,2,2
"4152","schmittenhoehe-zell-am-see","Europe","Austria",2000,30,28,19,59.5374291971553,29.185014312331,44.3612217547431,"Euro",4,5,5,4,5,4,4,3,4,4,5,5,5,4,3
"4156","schneeberg-hagerlifte-mitterland-thiersee","Europe","Austria",1000,0.8,2.1,0.1,21.0132103048783,16.3436080149054,0,"Euro",1,2,1,3,4,4,3,4,3,2,3,3,1,1,3
"4167","schoeneck-skiwelt","Europe","Germany",760,0.6,1,0.6,25.6828125948513,14.0088068699189,21.0132103048783,"Euro",1,2,2,3,4,4,3,3,3,2,3,3,2,3,3
"4191","schwemmalm","Europe","Italy",2625,6.3,11.7,2.5,44.3612217547431,31.5198154573175,37.3568183197837,"Euro",3,3,4,5,5,4,4,3,4,2,4,3,4,1,3
"4194","scuol-motta-naluns","Europe","Switzerland",2785,27,32,11,57.5443697377188,29.2769600419973,47.4488662749611,"Swiss Franc",4,4,5,4,5,4,4,3,4,3,5,4,4,5,4
"4198","sedrun-oberalp","Europe","Switzerland",2300,10,35,5,0,0,0,"-",3,4,4,5,4,4,4,2,3,2,4,3,5,4,3
"4199","see","Europe","Austria",2456,8,25,8,47.2797231859763,29.7687145985776,0,"Euro",3,4,4,4,4,5,4,5,4,4,4,4,4,1,1
"4229","serfaus-fiss-ladis","Europe","Austria",2820,47,123,28,59.5374291971553,36.1894177472905,51.3656251897026,"Euro",5,5,5,5,4,4,4,4,5,4,5,4,5,5,4
"4232","serre-chevalier-brianconchantemerlevilleneuve-la-sallele-monetier-les-bains","Europe","France",2800,138,80,32.5,58.2532885674127,46.6960228997296,0,"Euro",5,5,4,5,5,4,4,3,4,4,4,5,5,5,4
"4293","sierra-at-tahoe","North America","USA",2698,12,23,11.5,104,43,94,"US Dollar",3,4,3,4,4,3,4,3,3,1,4,4,4,3,1
"4297","silberberg-bodenmais","Europe","Germany",955,2,0,0,23.3480114498648,18.6784091598919,0,"Euro",1,2,2,2,5,4,4,3,3,1,4,4,1,1,5
"4302","sillian-thurntaler-hochpustertal","Europe","Austria",2407,5.6,15,1.1,54.2841266209357,28.0176137398378,28.0176137398378,"Euro",3,4,4,4,5,4,4,3,3,3,4,4,3,3,5
"4305","silver-star","North America","Canada",1915,20,50,45,73.0344600927538,38.0387812983092,58.5797231993962,"Canadian Dollar",4,5,4,4,4,4,4,3,3,5,5,5,5,4,4
"4310","silvretta-montafon","Europe","Austria",2430,60,45,8,61.2885300558951,35.0220171747972,0,"Euro",5,5,4,5,5,4,4,4,5,3,5,4,5,5,3
"4338","skeikampen-gausdal","Europe","Norway",1123,8,11,2,42.8842737241929,39.2084788335478,0,"Norwegian krone",2,3,4,5,5,3,3,3,3,4,4,4,2,4,5
"4348","ski-dubai-mall-of-the-emirates","Asia","United Arab Emirates",100,1,0.3,0.2,84.3993975516552,77.5929945232959,0,"United Arab Emerites",1,2,3,5,4,1,3,5,4,3,4,4,2,3,1
"4352","ski-jewel-alpbachtal-wildschoenau","Europe","Austria",2025,25.9,53.7,13.5,53.1167260484425,26.2665128810979,42.6101208960033,"Euro",4,4,4,4,5,4,4,5,4,4,5,4,4,4,4
"4375","skiwelt-wilder-kaiser-brixental","Europe","Austria",1957,122,129,33,57.2026280521688,28.6013140260844,43.1938211822499,"Euro",5,5,5,4,5,5,4,5,5,4,5,5,5,5,5
"4380","sky-resort-ulaanbaatar","Asia","Mongolia",1596,3,2,1,28.4738818748343,20.6896551752393,0,"Mongolian togrog",2,2,3,4,5,3,5,4,2,1,3,4,2,1,2
"4406","snow-arena-druskininkai","Europe","Lithuania",163,1.2,0,0,33.854616602304,22.1806108773716,28.0176137398378,"Euro",1,2,3,5,3,1,2,4,4,1,3,4,1,4,1
"4411","snow-dome-bispingen","Europe","Germany",122,0.3,0,0,43.1938211822499,26.8502131673445,0,"Euro",1,1,4,5,5,2,4,5,4,2,4,4,1,4,1
"4431","snow-valley-peer","Europe","Belgium",102,0.3,0.1,0,44.3612217547431,38.5242188922769,0,"Euro",1,2,1,5,4,1,3,4,3,1,3,4,1,4,1
"4443","snowmass","North America","USA",3813,14.2,111,111,169,112,0,"US Dollar",5,5,4,5,5,4,5,2,4,5,5,4,5,5,3
"4446","snowplanet","Europe","Netherlands",30,0.3,0,0,42.6101208960033,42.6101208960033,0,"Euro",1,1,1,5,2,1,3,5,3,1,3,4,1,3,1
"4452","snowworld-landgraaf","Europe","Netherlands",210,0.7,0.5,0.3,52.5330257621958,43.7775214684965,0,"Euro",1,2,3,5,5,3,3,4,4,3,4,4,1,4,1
"4453","snowworld-zoetermeer","Europe","Netherlands",80,0.4,0.3,0,52.5330257621958,43.7775214684965,0,"Euro",1,2,1,5,3,1,3,5,4,1,4,4,1,3,1
"4456","snozone-milton-keynes","Europe","United Kingdom",141,0.5,0,0,66.0109151075071,52.8060911212084,0,"UK Pound",1,1,1,5,4,1,4,4,3,1,3,4,1,3,1
"4458","soelden","Europe","Austria",3340,70.2,44.6,29.4,61.8722303421418,33.854616602304,49.0308240447161,"Euro",5,5,5,5,5,4,4,4,5,5,4,4,5,4,3
"4459","soellereck-oberstdorf","Europe","Germany",1450,7.2,6.2,0,41.4427203235101,21.0132103048783,35.0220171747972,"Euro",2,3,3,3,4,4,3,3,4,3,5,4,1,3,5
"4488","sonnenkopf-kloesterle","Europe","Austria",2300,12.8,15.9,0.8,49.0308240447161,28.0176137398378,39.6916194647702,"Euro",3,4,3,4,3,4,4,5,3,1,4,5,4,2,3
"4510","speikboden-sand-in-taufers-campo-tures","Europe","Italy",2400,21,6,11,50.781924903456,32.6872160298107,0,"Euro",3,4,5,5,5,4,4,3,4,2,4,4,4,4,3
"4515","spieljoch-fuegen","Europe","Austria",2037,3.6,14.8,2.7,61.2885300558951,27.4339134535912,49.0308240447161,"Euro",2,4,4,4,5,4,4,5,4,4,4,3,3,3,2
"4518","spindleruv-mlyn","Europe","Czech Republic",1235,7.2,14.7,3.7,39.9822101626692,27.8527756189381,31.8959204668485,"Czech koruna",3,3,4,4,4,5,4,3,4,3,4,4,2,4,4
"4522","spitzingsee-tegernsee","Europe","Germany",1580,8.5,7.5,4,40.8590200372634,19.8458097323851,37.3568183197837,"Euro",3,3,4,3,4,4,4,3,4,3,4,3,3,3,4
"4523","spluegen-tambo","Europe","Switzerland",2215,12,11,7,50.4775173137884,0,35.3342621196519,"Swiss Franc",3,4,4,4,4,3,3,4,3,2,4,3,4,2,4
"4533","squaw-valley","North America","USA",2760,25,45,30,129,78,112,"US Dollar",4,5,4,4,4,3,4,3,3,4,4,5,5,5,3
"4536","st-antonst-christophstubenlechzuerswarthschroecken-ski-arlberg","Europe","Austria",2811,132,123,50,61.8722303421418,37.3568183197837,56.0352274796756,"Euro",5,5,5,5,5,4,4,4,5,5,5,5,5,4,4
"4541","st-jakob-im-defereggental-brunnalm","Europe","Austria",2525,4.7,11.1,1.2,54.2841266209357,28.0176137398378,28.0176137398378,"Euro",3,4,4,5,5,4,4,2,3,3,4,4,3,4,4
"4545","st-johann-in-tiroloberndorf-harschbichl","Europe","Austria",1604,16,24,3,50.781924903456,25.6828125948513,40.8590200372634,"Euro",3,4,3,4,5,3,4,4,5,4,5,4,3,3,5
"4550","st-moritz-corviglia","Europe","Switzerland",3057,42,79,34,79.7544773557857,26.5511741070527,53.203303248733,"Swiss Franc",5,5,5,5,5,5,4,3,5,4,4,4,5,4,5
"4575","steckenberg-unterammergau","Europe","Germany",1050,1.5,5,1.5,21.0132103048783,15.1762074424121,0,"Euro",2,3,1,3,4,4,3,4,3,1,3,3,2,2,4
"4582","steinplattewinklmoosalm-waidringreit-im-winkl","Europe","Austria",1860,18,22,2,52.5330257621958,26.8502131673445,39.6916194647702,"Euro",3,4,5,4,5,4,4,4,4,3,3,5,3,4,5
"4592","sternstein-bad-leonfelden","Europe","Austria",1102,1,4,0,36.1894177472905,22.1806108773716,32.6872160298107,"Euro",2,2,4,3,4,3,3,3,2,2,3,3,1,1,2
"4597","stinesser-lifte-fischen-i-allgaeu","Europe","Germany",891,0.6,0.4,0,22.7643111636182,16.3436080149054,0,"Euro",1,2,1,3,4,4,3,5,2,2,4,3,1,1,3
"4622","stowe","North America","USA",1116,20,42,8,131,111,0,"US Dollar",3,5,4,4,5,5,4,4,4,5,4,5,4,5,3
"4634","strbske-pleso","Europe","Slovakia",1840,2.7,5.6,0,39.6916194647702,28.0176137398378,31.5198154573175,"Euro",2,3,3,4,4,4,3,4,3,2,4,3,1,3,3
"4642","stubai-glacier-stubaier-gletscher","Europe","Austria",3212,19,15,4,54.8678269071823,27.4339134535912,35.7224575182932,"Euro",3,5,4,5,4,4,4,3,4,2,5,5,4,5,2
"4648","sudelfeld-bayrischzell","Europe","Germany",1563,5,23,3,44.3612217547431,21.0132103048783,37.3568183197837,"Euro",3,4,4,3,4,4,5,3,4,3,4,4,3,4,4
"4661","sulden-am-ortler-solda-allortles","Europe","Italy",3250,17,13,14,47.8634234722229,29.7687145985776,46.6960228997296,"Euro",3,4,4,5,4,4,4,2,4,3,4,4,4,3,3
"4676","sun-peaks","North America","Canada",2082,13.5,78,43.5,72.2736844667876,36.5172300463769,57.8189475734301,"Canadian Dollar",4,5,4,5,4,4,5,3,4,5,4,5,5,5,4
"4694","sunshine-village","North America","Canada",2730,25,50,34,82.9245432303142,31.9525762905798,64.6659282071257,"Canadian Dollar",4,5,4,4,4,4,5,4,4,2,4,5,5,5,1
"4722","szczyrk-mountain-resort","Europe","Poland",1257,22.4,9.8,4.4,26.4520647172475,18.4362875302028,21.1082132592177,"Polish zloty",3,3,5,4,5,4,5,4,3,3,3,4,2,1,1
"4731","szymoszkowa","Europe","Poland",1126,2,2,0,26.719257290149,25.3832944256415,0,"Polish zloty",1,2,4,4,5,3,4,3,3,3,2,3,1,1,1
"4769","tandaadalenhundfjaellet-saelen","Europe","Sweden",872,18,15,12,44.6455627835482,35.7164502268385,0,"Swedish krona",3,3,3,5,4,4,4,3,4,4,5,5,3,5,4
"4785","tatranska-lomnica","Europe","Slovakia",2190,5.4,5.2,1.2,45.5286223272364,31.5198154573175,36.1894177472905,"Euro",2,3,4,4,5,4,4,4,3,2,4,5,3,2,2
"4789","tauplitz-bad-mitterndorf","Europe","Austria",1965,18,19,6,47.8634234722229,24.5154120223581,41.4427203235101,"Euro",3,4,4,5,5,4,4,3,4,4,4,4,5,1,5
"4802","telluride","North America","USA",3815,6.7,51.7,29.8,133,79,0,"US Dollar",4,5,4,5,5,4,5,3,5,5,4,5,5,5,4
"4819","terneuzen-skidome","Europe","Netherlands",25,0.3,0,0,49.6145243309627,46.112322613483,0,"Euro",1,1,1,5,4,1,2,5,3,1,3,4,1,3,1
"4841","the-snow-centre-hemel-hempstead","Europe","United Kingdom",146,0.3,0,0,46.3489321919083,38.0298930805402,0,"UK Pound",1,1,1,5,4,1,4,5,3,1,3,4,1,1,1
"4848","three-peaks-dolomites-helmstiergartenrotwandkreuzbergpass","Europe","Italy",2200,17.3,39.2,18.5,61.8722303421418,43.1938211822499,0,"Euro",3,5,4,4,5,4,4,3,4,4,4,3,4,3,5
"4857","tignesval-disere","Europe","France",3456,170,78,52,66.5418326321147,53.7004263346891,66.5418326321147,"Euro",5,5,4,5,5,4,5,3,5,5,5,5,5,5,4
"4863","tirolina-haltjochlift-hinterthiersee","Europe","Austria",1077,2,1.2,0.8,21.0132103048783,16.3436080149054,0,"Euro",1,2,2,3,4,4,4,4,2,3,3,2,2,1,3
"4865","titlis-engelberg","Europe","Switzerland",3020,19,37.5,9.5,65.620772507925,26.24830900317,46.4393159286854,"Swiss Franc",4,5,4,5,4,4,4,3,4,3,3,3,5,3,4
"4876","todtnauberg","Europe","Germany",1400,0,13,0,35.0220171747972,19.8458097323851,0,"Euro",2,2,2,3,3,3,4,3,3,3,3,3,2,2,4
"4880","toggenburg-wildhausunterwasseralt-st-johann","Europe","Switzerland",2262,10,45,5,59.5634704302704,27.2578593494458,51.4870676600642,"Swiss Franc",4,4,4,4,4,4,4,4,4,3,5,3,4,4,4
"4898","torrent-leukerbad","Europe","Switzerland",2610,3.5,26.9,16.8,55.5252690451673,35.3342621196519,45.4297655824096,"Swiss Franc",3,4,3,4,4,3,3,2,3,3,3,3,3,2,3
"4920","trins","Europe","Austria",1268,1,0,0,13.4251065836723,8.75550429369931,12.257706011179,"Euro",1,1,1,3,4,4,4,4,2,1,4,4,1,1,5
"4933","trysil","Europe","Norway",1100,33,18,20,56.9748208049991,7.3515897812902,45.3348036512896,"Norwegian krone",4,4,4,5,4,4,3,3,4,5,5,5,4,5,5
"4964","turracher-hoehe","Europe","Austria",2205,14,24.5,3.5,53.7004263346891,26.2665128810979,43.1938211822499,"Euro",3,4,5,5,5,4,5,3,4,5,5,4,3,5,4
"5007","unternberg-ruhpolding","Europe","Germany",1417,1.5,1,0,28.0176137398378,21.0132103048783,0,"Euro",2,2,2,3,4,4,3,4,3,2,3,3,2,1,5
"5031","vail","North America","USA",3433,57,84,93,169,117,0,"US Dollar",5,5,4,5,5,4,5,4,4,5,5,4,5,5,3
"5042","val-gardena-groeden","Europe","Italy",2518,52,105,18,63.039630914635,0,44.3612217547431,"Euro",5,5,5,5,5,4,5,3,5,5,5,4,4,5,5
"5048","val-senales-glacier-schnalstaler-gletscher","Europe","Italy",3212,8,7.6,11.6,52.5330257621958,31.5198154573175,44.9449220409898,"Euro",3,4,3,5,5,5,3,3,4,4,4,3,4,2,3
"5084","vals-3000-dachberg","Europe","Switzerland",2941,5,15,5,49.4679669675127,25.2387586568942,37.3533628122035,"Swiss Franc",3,3,2,4,4,4,4,3,3,2,4,3,4,1,2
"5106","vemdalsskalet","Europe","Sweden",946,5,8,5,44.6455627835482,35.7164502268385,0,"Swedish krona",2,3,4,5,4,3,3,3,4,4,4,5,3,4,3
"5108","venet-landeckzamsfliess","Europe","Austria",2212,6,15,1,44.3612217547431,26.2665128810979,35.0220171747972,"Euro",3,3,3,4,5,4,5,5,4,3,4,3,3,3,1
"5122","via-lattea-sestrieresauze-doulxsan-sicarioclavieremontgenevre","Europe","Italy",2749,96,220,84,56.0352274796756,0,0,"Euro",5,5,4,4,5,3,4,3,4,5,4,5,5,4,4
"5128","vigiljoch-monte-san-vigilio-lana","Europe","Italy",1814,1.4,2,0,17.5110085873986,10.5066051524392,0,"Euro",2,2,2,2,4,5,5,5,4,3,2,3,1,1,1
"5196","walmendingerhornheuberg-mittelberghirschegg","Europe","Austria",1946,19.5,11.9,2.3,54.8678269071823,21.0132103048783,42.0264206097567,"Euro",3,3,3,4,4,4,3,3,4,3,4,4,3,2,4
"5237","werfenweng","Europe","Austria",1834,11,15,1,47.2797231859763,25.0991123086047,42.6101208960033,"Euro",3,3,3,4,4,4,4,5,3,4,4,4,2,3,3
"5242","wetterstein-lifts-wettersteinbahnen-ehrwald","Europe","Austria",1530,15,5,3,51.3656251897026,25.6828125948513,44.9449220409898,"Euro",2,3,4,3,4,4,4,4,4,3,5,4,2,3,4
"5248","whistler-blackcomb","North America","Canada",2284,40,110,50,105.7478120093,53.2542938176329,90.532299489976,"Canadian Dollar",5,5,5,5,5,4,5,3,4,5,5,5,5,5,3
"5254","whiteface-lake-placid","North America","USA",1340,7,15,13,94,58,74,"US Dollar",3,5,3,4,5,3,4,3,3,1,4,4,4,5,4
"5269","wildenthal","Europe","Germany",780,0.3,0,0,9.33920457994593,0,0,"Euro",1,1,1,1,3,3,3,2,2,1,2,2,1,1,3
"5273","wildkogel-neukirchenbramberg","Europe","Austria",2150,29,25,10,52.5330257621958,25.6828125948513,42.6101208960033,"Euro",3,4,5,5,5,5,5,3,5,4,5,5,4,2,4
"5278","willingen-ettelsberg","Europe","Germany",838,7,9,0,32.6872160298107,21.0132103048783,0,"Euro",2,3,3,2,3,3,4,4,3,3,4,4,2,2,4
"5289","winter-park-resort","North America","USA",3676,11,53,79,159,99,0,"US Dollar",4,5,4,5,4,4,5,3,4,4,4,5,5,5,2
"5291","winterberg-skiliftkarussell","Europe","Germany",820,14,12,1.5,40.8590200372634,28.0176137398378,0,"Euro",2,3,4,3,4,3,3,3,3,3,4,4,2,2,3
"5304","wissen","Europe","Germany",267,0.7,0.3,0,16.3436080149054,16.3436080149054,0,"Euro",1,1,1,2,3,3,4,2,3,1,3,3,1,1,1
"5305","witow","Europe","Poland",998,2,0,0,25.3832944256415,24.0473315611341,0,"Polish zloty",1,1,3,3,4,4,3,4,3,1,3,4,1,2,1
"5324","wurmberg-braunlage","Europe","Germany",970,10,1.3,0.5,37.3568183197837,18.6784091598919,28.0176137398378,"Euro",2,2,3,2,3,3,3,3,3,2,3,4,2,2,3
"5326","wurzeralm-spital-am-pyhrn","Europe","Austria",1870,10,10,2,47.2797231859763,26.2665128810979,37.9405186060303,"Euro",3,3,3,4,4,4,4,5,3,2,4,3,3,2,4
"5364","yllaes","Europe","Finland",718,21,28,6,50.781924903456,31.5198154573175,0,"Euro",3,4,3,5,5,3,4,4,4,4,4,4,3,4,5
"5403","zahmer-kaiser-walchsee","Europe","Austria",1200,11,2,0,35.0220171747972,17.5110085873986,31.5198154573175,"Euro",2,3,2,3,4,3,4,5,4,3,5,4,1,1,5
"5416","zauberberg-semmering","Europe","Austria",1350,6.7,6.5,0.8,40.8590200372634,20.4295100186317,36.7731180335371,"Euro",2,3,3,3,4,4,3,5,3,3,3,3,2,4,2
"5417","zauchenseeflachauwinkl","Europe","Austria",2176,23.5,16.2,4.3,60.1211294834019,30.3524148848243,44.9449220409898,"Euro",3,4,5,5,4,4,4,5,4,4,4,5,4,2,3
"5430","zermattbreuil-cerviniavaltournenche-matterhorn","Europe","Switzerland",3899,75,220,27,92.8786318573707,46.4393159286854,78.74492700951,"Swiss Franc",5,5,4,5,5,5,4,2,5,5,4,4,5,4,3
"5431","zettersfeld-lienz","Europe","Austria",2278,7.9,11.5,1.6,54.2841266209357,27.4339134535912,27.4339134535912,"Euro",3,3,4,4,5,4,4,3,4,3,4,4,3,2,2
"5445","zillertal-arena-zell-am-zillergerloskoenigsleitenhochkrimml","Europe","Austria",2500,43,89,11,60.7048297696485,27.3171733963418,48.5638638157188,"Euro",5,5,5,5,4,4,4,4,5,5,5,4,5,5,4
"5462","zugspitze","Europe","Germany",2720,7,13,0,52.5330257621958,27.4339134535912,42.0264206097567,"Euro",2,3,3,4,4,4,3,4,4,2,2,4,3,1,1
"5464","zuoz-pizzetalbanas","Europe","Switzerland",2465,9,3,3,56.5348193914431,26.24830900317,42.4011145435823,"Swiss Franc",3,3,3,4,4,4,3,2,2,3,4,4,3,3,5
